group_id,transition_name,SPI,ISR,Ecc_X_1,Ecc_Y_1,Ecc_X_2,Ecc_Y_2,from_pga,to_pga,pga_ratio,log_pga_ratio,from_log_IDR_frame,from_log_IDR_masonry,from_damage_frame,from_damage_masonry,from_damage_global,transition_stage,from_IDR_frame,from_IDR_masonry,to_IDR_frame,to_IDR_masonry,to_log_IDR_frame,to_log_IDR_masonry,delta_log_IDR_frame,delta_log_IDR_masonry,target_log_delta_frame,target_log_delta_masonry,to_damage_frame,to_damage_masonry,to_damage_global,delta_damage_frame,delta_damage_masonry,delta_damage_global,to_score_global,from_score_global
69,mid_to_high,7,2.5,0.0407,0.072,0.0,0.0,100.0,220.0,2.2,0.7884573603642703,-5.657694370463462,-6.901471728565701,2,1,2,1,0.0034905555555555,0.0010063033333333,0.0088610444444444,0.0024883866666666,-4.726090638192681,-5.996120703533151,0.931603732270781,0.9053510250325496,-0.07084773467815046,-0.09943253752134029,3,2,3,1,1,1,3.6583133333333198,2.23773333333332
70,low_to_mid,7,2.5,0.0413,0.0,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.989900937047474,-8.055580921351739,0,0,0,0,0.0009211377777777,0.000317326,0.0032999333333333,0.0010424266666666,-5.713853012733979,-6.866203950490638,1.2760479243134952,1.1893769708611013,0.24376774245672145,0.17342961612300595,2,1,2,2,1,2,2.1919839999999917,0.793315
70,mid_to_high,7,2.5,0.0413,0.0,0.0,0.0,100.0,220.0,2.2,0.7884573603642703,-5.713853012733979,-6.866203950490638,2,1,2,1,0.0032999333333333,0.0010424266666666,0.0086536666666666,0.0023629566666666,-4.749772155755039,-6.047841619216102,0.9640808569789385,0.8183623312745347,-0.036580111354862645,-0.20045009268341332,3,2,3,1,1,1,3.59609999999998,2.1919839999999917
71,low_to_mid,7,2.5,0.0805,0.1123,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.984475549106028,-7.895685237998624,0,0,0,0,0.0009261488888888,0.0003723466666666,0.0035168222222222,0.0011274166666666,-5.650197474899197,-6.787826399148973,1.3342780742068314,1.1078588388496502,0.2883903771998604,0.10242917844855494,2,2,2,2,2,2,2.244037333333328,0.9308666666664999
71,mid_to_high,7,2.5,0.0805,0.1123,0.0,0.0,100.0,220.0,2.2,0.7884573603642703,-5.650197474899197,-6.787826399148973,2,2,2,1,0.0035168222222222,0.0011274166666666,0.0089099777777777,0.0027512766666666,-4.7205835315791065,-5.895690232606613,0.9296139433200903,0.8921361665423598,-0.07298589372837846,-0.11413650497802819,3,2,3,1,0,1,3.67299333333331,2.244037333333328
72,low_to_mid,7,2.5,0.0832,0.0,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.983039327057495,-7.889224736881286,0,0,0,0,0.00092748,0.00037476,0.0033642444444444,0.0011577833333333,-5.694551874694392,-6.761248021540186,1.2884874523631025,1.1279767153411009,0.25346901288910034,0.12042551043470726,2,2,2,2,2,2,2.2074186666666558,0.9369000000000001
72,mid_to_high,7,2.5,0.0832,0.0,0.0,0.0,100.0,220.0,2.2,0.7884573603642703,-5.694551874694392,-6.761248021540186,2,2,2,1,0.0033642444444444,0.0011577833333333,0.0086335111111111,0.0025964666666666,-4.752104007136177,-5.9536037325567985,0.9424478675582151,0.8076442889833872,-0.059274674125368874,-0.21363355380023738,3,2,3,1,0,1,3.59005333333333,2.2074186666666558
73,low_to_mid,7,2.5,0.1346,0.0,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.996644782183618,-7.845635734057709,0,0,0,0,0.0009149466666666,0.0003914566666666,0.0034671777777777,0.0011075833333333,-5.66441433647311,-6.8055748143309716,1.3322304457105079,1.0400609197267374,0.28685456444433316,0.03927928809806017,2,1,2,2,1,2,2.232122666666648,0.9786416666665
73,mid_to_high,7,2.5,0.1346,0.0,0.0,0.0,100.0,220.0,2.2,0.7884573603642703,-5.66441433647311,-6.8055748143309716,2,1,2,1,0.0034671777777777,0.0011075833333333,0.0088310222222222,0.0031281,-4.729484504110664,-5.767329487500617,0.9349298323624462,1.0382453268303546,-0.06728379811117392,0.03753210251243656,3,2,3,1,1,1,3.64930666666666,2.232122666666648
74,low_to_mid,7,2.5,0.1583,0.2536,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-7.032907903472969,-7.899083902430662,0,0,0,0,0.0008823622222222,0.0003710833333333,0.0034025111111111,0.0011322433333333,-5.6832415578712885,-6.783554363526473,1.3496663456016804,1.1155295389041888,0.2998574104972334,0.10932921495597636,2,2,2,2,2,2,2.216602666666664,0.92770833333325
