"SPI","ISR","Ecc_X_1","Ecc_Y_1","Ecc_X_2","Ecc_Y_2","PGA","IDR_frame","IDR_masonry"
"7","1","0","0","0.0509","0.2034","35","0.000527422222222222","0.000455643333333333"
"7","1","0","0","0.0685","0","100","0.00209993333333333","0.00142107666666667"
"7","1","0","0","0.0685","0","220","0.00662582222222222","0.00310691666666667"
"7","1","0","0","0.0685","0","35","0.000515175555555556","0.000491103333333333"
"7","1","0","0","0.0896","0","100","0.00213639333333333","0.00143162333333333"
"7","1","0","0","0.0896","0","220","0.00664613333333333","0.00294414666666667"
"7","1","0","0","0.0896","0","35","0.000531648888888889","0.00044503"
"7","1","0","0","0.1124","0","100","0.00191819555555556","0.00150701666666667"
"7","1","0","0","0.1124","0","220","0.0062624","0.0033586"
"7","1","0","0","0.1124","0","35","0.000500995555555556","0.000501136666666667"
"7","1","0","0","0","0.0744","100","0.00209769555555556","0.00148265333333333"
"7","1","0","0","0","0.0744","220","0.00674262222222222","0.00305597"
